260,aero_water      ,m                  ,3D,sum of aerosol water of interstitial modes wat_a1+wat_a2+wat_a3+wat_a4
261,airFV           ,frac               ,2D,FV
262,bc_a1DDF        ,kg/m2/s            ,2D,bc_a1 dry deposition flux at bottom (grav + turb)
263,bc_a1SFWET      ,kg/m2/s            ,2D,Wet deposition flux at surface
264,bc_a1_SRF       ,kg/kg              ,2D,bc_a1 in bottom layer
265,bc_a1_sfgaex1   ,kg/m2/s            ,2D,bc_a1 gas-aerosol-exchange primary column tendency
266,bc_a3DDF        ,kg/m2/s            ,2D,bc_a3 dry deposition flux at bottom (grav + turb)
267,bc_a3SFWET      ,kg/m2/s            ,2D,Wet deposition flux at surface
268,bc_a3_SRF       ,kg/kg              ,2D,bc_a3 in bottom layer
269,bc_a4DDF        ,kg/m2/s            ,2D,bc_a4 dry deposition flux at bottom (grav + turb)
270,bc_a4SFWET      ,kg/m2/s            ,2D,Wet deposition flux at surface
271,bc_a4_CLXF      ,molec/cm2/s        ,2D,vertically intergrated external forcing for bc_a4
272,bc_a4_SRF       ,kg/kg              ,2D,bc_a4 in bottom layer
273,bc_a4_sfgaex1   ,kg/m2/s            ,2D,bc_a4 gas-aerosol-exchange primary column tendency
274,bc_c1DDF        ,kg/m2/s            ,2D,bc_c1 dry deposition flux at bottom (grav + turb)
275,bc_c1SFWET      ,kg/m2/s            ,2D,bc_c1 wet deposition flux at surface
276,bc_c3DDF        ,kg/m2/s            ,2D,bc_c3 dry deposition flux at bottom (grav + turb)
277,bc_c3SFWET      ,kg/m2/s            ,2D,bc_c3 wet deposition flux at surface
278,bc_c4DDF        ,kg/m2/s            ,2D,bc_c4 dry deposition flux at bottom (grav + turb)
279,bc_c4SFWET      ,kg/m2/s            ,2D,bc_c4 wet deposition flux at surface
280,chla            ,mg L-1             ,2D,ocean input data: chla
281,dst_a1DDF       ,kg/m2/s            ,2D,dst_a1 dry deposition flux at bottom (grav + turb)
282,dst_a1SF        ,kg/m2/s            ,2D,dst_a1 dust surface emission
283,dst_a1SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
284,dst_a1_SRF      ,kg/kg              ,2D,dst_a1 in bottom layer
285,dst_a3DDF       ,kg/m2/s            ,2D,dst_a3 dry deposition flux at bottom (grav + turb)
286,dst_a3SF        ,kg/m2/s            ,2D,dst_a3 dust surface emission
287,dst_a3SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
288,dst_a3_SRF      ,kg/kg              ,2D,dst_a3 in bottom layer
289,dst_c1DDF       ,kg/m2/s            ,2D,dst_c1 dry deposition flux at bottom (grav + turb)
290,dst_c1SFWET     ,kg/m2/s            ,2D,dst_c1 wet deposition flux at surface
291,dst_c3DDF       ,kg/m2/s            ,2D,dst_c3 dry deposition flux at bottom (grav + turb)
292,dst_c3SFWET     ,kg/m2/s            ,2D,dst_c3 wet deposition flux at surface
293,hstobie_linoz   ,fraction of mode   ,3D,Lowest possible Linoz level
294,mlip            ,uM C               ,2D,ocean input data: mlip
295,mom_a1DDF       ,kg/m2/s            ,2D,mom_a1 dry deposition flux at bottom (grav + turb)
296,mom_a1SF        ,kg/m2/s            ,2D,mom_a1 seasalt surface emission
297,mom_a1SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
298,mom_a1_SRF      ,kg/kg              ,2D,mom_a1 in bottom layer
299,mom_a1_sfgaex1  ,kg/m2/s            ,2D,mom_a1 gas-aerosol-exchange primary column tendency
300,mom_a2DDF       ,kg/m2/s            ,2D,mom_a2 dry deposition flux at bottom (grav + turb)
301,mom_a2SF        ,kg/m2/s            ,2D,mom_a2 seasalt surface emission
302,mom_a2SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
303,mom_a2_SRF      ,kg/kg              ,2D,mom_a2 in bottom layer
304,mom_a3DDF       ,kg/m2/s            ,2D,mom_a3 dry deposition flux at bottom (grav + turb)
305,mom_a3SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
306,mom_a3_SRF      ,kg/kg              ,2D,mom_a3 in bottom layer
307,mom_a4DDF       ,kg/m2/s            ,2D,mom_a4 dry deposition flux at bottom (grav + turb)
308,mom_a4SF        ,kg/m2/s            ,2D,mom_a4 seasalt surface emission
309,mom_a4SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
310,mom_a4_SRF      ,kg/kg              ,2D,mom_a4 in bottom layer
311,mom_a4_sfgaex1  ,kg/m2/s            ,2D,mom_a4 gas-aerosol-exchange primary column tendency
312,mom_c1DDF       ,kg/m2/s            ,2D,mom_c1 dry deposition flux at bottom (grav + turb)
313,mom_c1SFWET     ,kg/m2/s            ,2D,mom_c1 wet deposition flux at surface
314,mom_c2DDF       ,kg/m2/s            ,2D,mom_c2 dry deposition flux at bottom (grav + turb)
